_id,car_model,car_ID,year,mileage,sec_status,price
5eb69794bbb13e40ab8364f5,2004 Honda Accord,NG-479627,2004," 92,821 Km",Nigerian Used,"₦ 682,750"
5eb69794bbb13e40ab8364f6,2005 Toyota Corolla,NG-479562,2005," 89,910 Km",Nigerian Used,"₦ 815,000"
5eb69794bbb13e40ab8364f7,2001 Toyota 4Runner,NG-479646,2001," 180,360 Km",Nigerian Used,"₦ 642,500"
5eb69794bbb13e40ab8364f8,2005 Toyota Highlander,NG-479653,2005," 139,362 Km",Nigerian Used,"₦ 1,505,000"
5eb69794bbb13e40ab8364f9,2009 Toyota Venza,NG-479595,2009," 91,527 Km",Nigerian Used,"₦ 3,575,000"
5eb69795bbb13e40ab8364fa,2002 Jeep Liberty,NG-479563,2002," 170,759 Km",Nigerian Used,"₦ 297,500"
5eb69795bbb13e40ab8364fb,2009 Toyota Corolla,NG-479618,2009," 100,056 Km",Nigerian Used,"₦ 642,500"
5eb69795bbb13e40ab8364fc,2008 Hyundai Elantra,NG-479616,2008," 84,818 Km",Nigerian Used,"₦ 355,000"
5eb69795bbb13e40ab8364fd,1999 Toyota Avensis,NG-479638,1999," 188,052 Km",Nigerian Used,"₦ 240,000"
5eb69796bbb13e40ab8364fe,2001 Toyota Camry,NG-479600,2001," 255,940 Km",Nigerian Used,"₦ 642,500"
5eb69796bbb13e40ab8364ff,2006 Land Rover Range Rover Sport,NG-479607,2006," 132,375 Km",Nigerian Used,"₦ 2,310,000"
5eb69796bbb13e40ab836500,2012 Honda Civic,NG-479566,2012," 115,707 Km",Nigerian Used,"₦ 1,330,000"
5eb69796bbb13e40ab836501,2008 Honda Civic,NG-479637,2008," 329,444 Km",Nigerian Used,"₦ 527,500"
5eb69796bbb13e40ab836502,2005 Toyota Corolla,NG-479575,2005," 112,042 Km",Foreign Used,"₦ 1,677,500"
5eb69797bbb13e40ab836503,2011 Toyota Corolla,NG-479635,2011," 98,586 Km",Foreign Used,"₦ 3,460,000"
5eb69797bbb13e40ab836504,2007 Volkswagen Passat,NG-479634,2007," 345,616 Km",Nigerian Used,"₦ 412,500"
5eb69797bbb13e40ab836505,2001 Honda Passport,NG-479605,2001," 144,101 Km",Nigerian Used,"₦ 470,000"
5eb69797bbb13e40ab836506,2003 Toyota Corolla,NG-479624,2003," 163,126 Km",Nigerian Used,"₦ 665,500"
5eb69797bbb13e40ab836507,2005 Mercedes-Benz C180,NG-479642,2005," 196,688 Km",Foreign Used,"₦ 2,080,000"
5eb69798bbb13e40ab836508,2002 Lexus Es,NG-479608,2002," 120,027 Km",Foreign Used,"₦ 1,505,000"
5eb69798bbb13e40ab836509,2006 Honda Civic,NG-479106,2006," 167,428 Km",Foreign Used,"₦ 1,850,000"
5eb69798bbb13e40ab83650a,2003 Toyota Corolla,NG-479591,2003," 130,380 Km",Foreign Used,"₦ 1,821,250"
5eb69799bbb13e40ab83650b,1995 Nissan Almera,NG-479601,1995," 274,498 Km",Nigerian Used,"₦ 125,000"
5eb69799bbb13e40ab83650c,2008 Kia Picanto,NG-479604,2008," 84,315 Km",Nigerian Used,"₦ 550,500"
5eb69799bbb13e40ab83650d,2006 Lexus Es,NG-479138,2006," 118,705 Km",Foreign Used,"₦ 2,195,000"
5eb69799bbb13e40ab83650e,2001 Kia Magentis,NG-479589,2001," 247,731 Km",Nigerian Used,"₦ 309,000"
5eb69799bbb13e40ab83650f,2005 Ford F-150,NG-479356,2005," 243,235 Km",Foreign Used,"₦ 1,160,000"
5eb6979cbbb13e40ab836510,2005 Lexus Gx,NG-479556,2005," 124,958 Km",Nigerian Used,"₦ 1,907,500"
5eb6979dbbb13e40ab836511,2004 Toyota Solara,NG-479372,2004," 193,815 Km",Foreign Used,"₦ 1,447,500"
5eb6979dbbb13e40ab836512,2010 Mercedes-Benz Glk350,NG-479361,2010," 128,615 Km",Foreign Used,"₦ 4,897,500"
5eb6979dbbb13e40ab836513,2015 BMW X5,NG-479366,2015," 47,860 Km",Nigerian Used,"₦ 14,960,000"
5eb6979ebbb13e40ab836514,2011 Kia Rio,NG-479113,2011," 139,928 Km",Nigerian Used,"₦ 240,000"
5eb6979ebbb13e40ab836515,2012 Honda Civic,NG-479316,2012," 39,458 Km",Nigerian Used,"₦ 2,080,000"
5eb6979ebbb13e40ab836516,2004 Mercedes-Benz E320,NG-479336,2004," 150,827 Km",Nigerian Used,"₦ 613,750"
5eb6979ebbb13e40ab836517,2010 Honda Accord Crosstour,NG-479340,2010," 81,239 Km",Nigerian Used,"₦ 1,735,000"
5eb6979fbbb13e40ab836518,2008 Honda Accord,NG-479351,2008," 110,854 Km",Nigerian Used,"₦ 1,390,000"
